Lunaxy Music V31 播放核心保护检查

Baseline: Lunaxy Music V30
原则：V31 只允许播放详情歌词区域位置、版本/说明变化；播放与音源核心必须逐字节一致。

[PASS] app/src/main/java/com/xingyu/music/playback/BeatAudioProcessor.java
      V30 cd99b6b52d344af9ab2782cea7fa58957a4f38be7fd5650ee489f51db2e9b72f
      V31 cd99b6b52d344af9ab2782cea7fa58957a4f38be7fd5650ee489f51db2e9b72f
[PASS] app/src/main/java/com/xingyu/music/playback/PlaybackService.java
      V30 8e1b7d154d0d51613666327b2f5d2a63aa331396d351b7ccb434f3163f0e8860
      V31 8e1b7d154d0d51613666327b2f5d2a63aa331396d351b7ccb434f3163f0e8860
[PASS] app/src/main/java/com/xingyu/music/data/SourceCoordinator.java
      V30 cdcc6afe54a7a70251a64689a1fa851eda251d220ec4438bd4c607018c86b37c
      V31 cdcc6afe54a7a70251a64689a1fa851eda251d220ec4438bd4c607018c86b37c
[PASS] app/src/main/java/com/xingyu/music/data/MultiSourceManager.java
      V30 9ccb4d48e1ddc97881069a6241d35527f2dab76163f075f57c07c35c4f26ea04
      V31 9ccb4d48e1ddc97881069a6241d35527f2dab76163f075f57c07c35c4f26ea04
[PASS] app/src/main/java/com/xingyu/music/data/SourceHealthStore.java
      V30 7a22aaf0acd69f4e3d52ce7ddace4ac469a013282df263b4ffac8f80591cb594
      V31 7a22aaf0acd69f4e3d52ce7ddace4ac469a013282df263b4ffac8f80591cb594
[PASS] app/src/main/java/com/xingyu/music/data/PlaybackUrlStore.java
      V30 013d45537090f2686e6833ea4273991ab1ca23c32f49b48999b33f94ef0440e6
      V31 013d45537090f2686e6833ea4273991ab1ca23c32f49b48999b33f94ef0440e6
[PASS] app/src/main/java/com/xingyu/music/data/LxSourceRuntime.java
      V30 7f467647aeae0497b1857718c280ae7dff18797dbb3ea1706ca12d8c61f28e2a
      V31 7f467647aeae0497b1857718c280ae7dff18797dbb3ea1706ca12d8c61f28e2a
[PASS] app/src/main/java/com/xingyu/music/data/AudioUrlProbe.java
      V30 522d2384d2e1b014b7eb4bbeafc5cdf56f5f34720ec695684aa4458ab928fa2c
      V31 522d2384d2e1b014b7eb4bbeafc5cdf56f5f34720ec695684aa4458ab928fa2c
[PASS] app/src/main/java/com/xingyu/music/data/ResolverProvider.java
      V30 dcd816e418966bdaf54bfed67c025a1ce0a56d6d98bd6192332ff197f5135068
      V31 dcd816e418966bdaf54bfed67c025a1ce0a56d6d98bd6192332ff197f5135068
[PASS] app/src/main/java/com/xingyu/music/data/SourceScriptStore.java
      V30 590e3169ba46b75d043a41cfc109d8f2fd14e77bc8fcc50178955e0467e062f2
      V31 590e3169ba46b75d043a41cfc109d8f2fd14e77bc8fcc50178955e0467e062f2
[PASS] app/src/main/assets/source/huibq-latest.js
      V30 a9adeb456690b523008038224091cee31977606302d79082eb06adb3c75c9146
      V31 a9adeb456690b523008038224091cee31977606302d79082eb06adb3c75c9146
[PASS] app/src/main/java/com/xingyu/music/data/QQMusicApi.java
      V30 bd36e05e69bf8aeee5ff12ef55b18a0a672bcdd93604b7758eb6e2e26e67a384
      V31 bd36e05e69bf8aeee5ff12ef55b18a0a672bcdd93604b7758eb6e2e26e67a384
[PASS] app/src/main/java/com/xingyu/music/data/NeteaseApi.java
      V30 5074d13bb9b90fd2c60f3069641920639d6ca610704bb6f6c62587404fa9f795
      V31 5074d13bb9b90fd2c60f3069641920639d6ca610704bb6f6c62587404fa9f795
[PASS] app/src/main/java/com/xingyu/music/data/V14PlaybackStateMigration.java
      V30 9cbde513ff5aefd43987ef155a0e056b3778559974d53236daa9d6802c88e4a1
      V31 9cbde513ff5aefd43987ef155a0e056b3778559974d53236daa9d6802c88e4a1
[PASS] app/src/main/java/com/xingyu/music/data/PlaybackTrace.java
      V30 24ce07eaeb3e28264dde1f0deea0c4a3aad8e7556ebb181b79cec6d88ca5366b
      V31 24ce07eaeb3e28264dde1f0deea0c4a3aad8e7556ebb181b79cec6d88ca5366b
[PASS] app/src/main/java/com/xingyu/music/data/LibraryStore.java
      V30 4b1b5438a1aabb476b097c7cf4f617884cb98360514cdd7239b0084bfc5bb60f
      V31 4b1b5438a1aabb476b097c7cf4f617884cb98360514cdd7239b0084bfc5bb60f
[PASS] app/src/main/AndroidManifest.xml
      V30 96d959b329e0b897db94052dbdc988d2dbb44a3271354f2e6573c83bd97d9007
      V31 96d959b329e0b897db94052dbdc988d2dbb44a3271354f2e6573c83bd97d9007
[PASS] app/src/main/res/drawable-nodpi/icon_xm.png
      V30 229eced19957739cee21401a22a48e6904e61517bce9d9b182d097fdd11dfb35
      V31 229eced19957739cee21401a22a48e6904e61517bce9d9b182d097fdd11dfb35
[PASS] app/src/main/res/drawable-nodpi/icon_stardust.png
      V30 229eced19957739cee21401a22a48e6904e61517bce9d9b182d097fdd11dfb35
      V31 229eced19957739cee21401a22a48e6904e61517bce9d9b182d097fdd11dfb35
[PASS] app/src/main/res/drawable/ic_launcher_foreground.xml
      V30 e9e0369458497e8ab823022aca243ec12262ff39e815273c9582927616592bc9
      V31 e9e0369458497e8ab823022aca243ec12262ff39e815273c9582927616592bc9
[PASS] app/src/main/res/drawable/ic_launcher_background.xml
      V30 1be2433e87669925dbca4c79e34cccf4cc76529e46f947a164703567dc40aa67
      V31 1be2433e87669925dbca4c79e34cccf4cc76529e46f947a164703567dc40aa67

结论：保护对象 21/21 SHA-256 完全一致。
[INTENTIONAL] MainActivity.java：歌词卡片 topMargin 20dp → 44dp；手势排除仍绑定 lyricPanel 实时位置；版本注释更新。
[INTENTIONAL] app/build.gradle.kts：versionCode 34 / versionName 31.0.0。
[INTENTIONAL] README/BUILD_APK/版本说明更新。
[PASS] App 名称、包名、Manifest、图标、Huibq/QDY/Media3/READY/URL 缓存/音源学习均未修改。
